points,height,width,block_type,text,id,score,x_center,y_center,x_center_100x,scan,page,column
"[301, 152, 315, 152, 315, 173, 301, 173]",21,14,quadrilateral,"""",0,0.8303021192550659,308.0,162.5,30800.0,1,1,0
"[322, 152, 382, 152, 382, 173, 322, 173]",21,60,quadrilateral,THE,1,0.9889289140701294,352.0,162.5,35200.0,1,1,0
"[399, 152, 522, 153, 522, 175, 399, 174]",23,123,quadrilateral,COMMON,2,0.9838831424713135,460.5,163.5,46050.0,1,1,0
"[539, 153, 630, 154, 630, 176, 539, 175]",23,91,quadrilateral,CAUSE,3,0.9922733902931213,584.5,164.5,58450.0,1,1,0
"[631, 154, 638, 154, 638, 175, 631, 175]",21,7,quadrilateral,",",4,0.9791178107261658,634.5,164.5,63450.0,1,1,0
"[638, 154, 650, 154, 650, 175, 638, 175]",21,12,quadrilateral,"""",5,0.9732106328010559,644.0,164.5,64400.0,1,1,0
"[669, 154, 756, 155, 756, 177, 669, 176]",23,87,quadrilateral,APRIL,6,0.9920557141304016,712.5,165.5,71250.0,1,1,0
"[775, 155, 796, 155, 796, 176, 775, 176]",21,21,quadrilateral,14,7,0.9820328950881958,785.5,165.5,78550.0,1,1,0
"[799, 155, 806, 155, 806, 176, 799, 176]",21,7,quadrilateral,",",8,0.9160628914833069,802.5,165.5,80250.0,1,1,0
"[820, 155, 867, 155, 867, 176, 820, 176]",21,47,quadrilateral,1910,9,0.9800028800964355,843.5,165.5,84350.0,1,1,0
"[866, 155, 872, 155, 872, 176, 866, 176]",21,6,quadrilateral,.,10,0.8645647168159485,869.0,165.5,86900.0,1,1,0
"[1462, 188, 1615, 188, 1615, 220, 1462, 220]",32,153,quadrilateral,Codes,11,0.9829921722412109,1538.5,204.0,153850.0,1,1,1
"[1660, 188, 1714, 188, 1714, 220, 1660, 220]",32,54,quadrilateral,of,12,0.977729320526123,1687.0,204.0,168700.0,1,1,1
"[1754, 188, 1942, 188, 1942, 220, 1754, 220]",32,188,quadrilateral,Honour,13,0.9627819061279297,1848.0,204.0,184800.0,1,1,1
"[1943, 188, 1956, 188, 1956, 220, 1943, 220]",32,13,quadrilateral,.,14,0.5823298096656799,1949.5,204.0,194950.0,1,1,1
"[1511, 252, 1577, 252, 1577, 290, 1511, 290]",38,66,quadrilateral,By,15,0.973878026008606,1544.0,271.0,154400.0,1,1,1
"[1620, 252, 1666, 252, 1666, 290, 1620, 290]",38,46,quadrilateral,L.,16,0.9699309468269348,1643.0,271.0,164300.0,1,1,1
"[1708, 252, 1895, 252, 1895, 290, 1708, 290]",38,187,quadrilateral,Waring,17,0.9797670245170593,1801.5,271.0,180150.0,1,1,1
"[1897, 252, 1909, 252, 1909, 290, 1897, 290]",38,12,quadrilateral,.,18,0.9175827503204346,1903.0,271.0,190300.0,1,1,1
"[324, 326, 643, 329, 641, 494, 322, 491]",168,321,quadrilateral,The,19,0.9874678254127502,482.5,410.0,48250.0,1,1,0
"[709, 330, 1429, 338, 1427, 503, 707, 495]",173,722,quadrilateral,Common,20,0.9908636808395386,1068.0,416.5,106800.0,1,1,0
"[1512, 339, 1983, 344, 1981, 509, 1510, 504]",170,473,quadrilateral,Cause,21,0.9916307926177979,1746.5,424.0,174650.0,1,1,1
"[2002, 345, 2024, 345, 2022, 509, 2000, 509]",164,24,quadrilateral,.,22,0.9417765736579895,2012.0,427.0,201200.0,1,1,1
"[521, 549, 616, 549, 616, 607, 521, 607]",58,95,quadrilateral,The,23,0.9923169016838074,568.5,578.0,56850.0,1,1,0
"[644, 549, 794, 549, 794, 607, 644, 607]",58,150,quadrilateral,Organ,24,0.9908877015113831,719.0,578.0,71900.0,1,1,0
"[827, 549, 873, 549, 873, 607, 827, 607]",58,46,quadrilateral,of,25,0.9895665645599365,850.0,578.0,85000.0,1,1,0
"[903, 549, 980, 549, 980, 607, 903, 607]",58,77,quadrilateral,the,26,0.985550582408905,941.5,578.0,94150.0,1,1,0
"[1010, 549, 1232, 549, 1232, 607, 1010, 607]",58,222,quadrilateral,Women's,27,0.995356023311615,1121.0,578.0,112100.0,1,1,0
"[1262, 549, 1509, 549, 1509, 607, 1262, 607]",58,247,quadrilateral,Movement,28,0.9899617433547974,1385.5,578.0,138550.0,1,1,1
"[1541, 549, 1612, 549, 1612, 607, 1541, 607]",58,71,quadrilateral,for,29,0.9907386898994446,1576.5,578.0,157650.0,1,1,1
"[1644, 549, 1820, 549, 1820, 607, 1644, 607]",58,176,quadrilateral,Reform,30,0.9881693720817566,1732.0,578.0,173200.0,1,1,1
"[1817, 549, 1833, 549, 1833, 607, 1817, 607]",58,16,quadrilateral,.,31,0.9399116039276123,1825.0,578.0,182500.0,1,1,1
"[344, 675, 415, 675, 415, 705, 344, 705]",30,71,quadrilateral,VOL,32,0.8922796249389648,379.5,690.0,37950.0,1,1,0
"[417, 675, 427, 675, 427, 705, 417, 705]",30,10,quadrilateral,.,33,0.9103118777275085,422.0,690.0,42200.0,1,1,0
"[442, 675, 478, 675, 478, 705, 442, 705]",30,36,quadrilateral,II,34,0.9322195053100586,460.0,690.0,46000.0,1,1,0
"[480, 675, 490, 675, 490, 705, 480, 705]",30,10,quadrilateral,.,35,0.861134946346283,485.0,690.0,48500.0,1,1,0
"[535, 676, 595, 676, 595, 706, 535, 706]",30,60,quadrilateral,No.,36,0.9716277122497559,565.0,691.0,56500.0,1,1,0
"[614, 676, 657, 676, 657, 706, 614, 706]",30,43,quadrilateral,53,37,0.9307985901832581,635.5,691.0,63550.0,1,1,0
"[657, 676, 666, 676, 666, 706, 657, 706]",30,9,quadrilateral,.,38,0.9137789011001587,661.5,691.0,66150.0,1,1,0
"[714, 673, 835, 675, 835, 696, 714, 694]",23,121,quadrilateral,Registered,39,0.9916608929634094,774.5,684.5,77450.0,1,1,0
"[848, 675, 871, 675, 871, 696, 848, 696]",21,23,quadrilateral,as,40,0.9773039817810059,859.5,685.5,85950.0,1,1,0
"[1019, 674, 1156, 676, 1155, 709, 1018, 707]",35,138,quadrilateral,APRIL,41,0.990824282169342,1087.0,691.5,108700.0,1,1,0
"[1182, 677, 1221, 678, 1220, 711, 1181, 710]",34,40,quadrilateral,14,42,0.9889932870864868,1201.0,694.0,120100.0,1,1,1
"[1222, 678, 1231, 678, 1230, 710, 1221, 710]",32,10,quadrilateral,",",43,0.9772421717643738,1226.0,694.0,122600.0,1,1,1
"[1257, 678, 1339, 679, 1338, 712, 1256, 711]",34,83,quadrilateral,1910,44,0.9852393865585327,1297.5,695.0,129750.0,1,1,1
"[1341, 680, 1350, 680, 1349, 712, 1340, 712]",32,10,quadrilateral,.,45,0.9288791418075562,1345.0,696.0,134500.0,1,1,1
